language,freq2021,freq2022,freq2023
TypeScript,0.15795724465558195,0.20521172638436483,0.26707132018209406
JavaScript,0.2850356294536817,0.249728555917481,0.19119878603945373
C#,0.17458432304038005,0.1487513572204126,0.18968133535660092
Dart,0.09619952494061758,0.09446254071661238,0.125948406676783
Java,0.0510688836104513,0.08360477741585233,0.057663125948406675
PHP,0.039192399049881234,0.033659066232356136,0.03793626707132018
Kotlin,0.032066508313539195,0.02062975027144408,0.036418816388467376
Python,0.05463182897862233,0.07709011943539631,0.025796661608497723
C++,0.032066508313539195,0.014115092290988056,0.018209408194233688
Swift,0.020190023752969122,0.016286644951140065,0.01669195751138088
